SYMBOL	s
MT-ND4	85
MT-CO3	83
RP11-764K9.4	82
CTU2	78
SARM1	75
FAM86FP	74
PABPC3	74
SLC22A1	70
RP11-415I12.2	67
PRB3	65
RP11-196D18.5	64
TBC1D3P5	60
NF1P6	57
IGHGP	55
RP11-492D6.3	55
SLC46A1	55
SLC9B1P2	55
IGHJ6	54
ZNF516	53
MUC6	47
MTCH2	46
RP11-87H9.2	45
ABCD1P3	44
AP000244.1	44
MUC16	42
RP11-573D15.1	41
RP4-801G22.2	40
MST1P2	35
RP11-597A11.1	35
DPY19L2P1	33
TYW1B	33
B3GNT6	30
DDX11L8	29
BAGE2	28
C19orf55	28
SLC9B1P1	28
ALDH3B2	27
RP11-626K17.5	27
TRAJ36	26
GXYLT1	24
RP11-241F15.7	23
TRBV10-1	23
PRSS3P1	20
SPATA31E3P	20
RP11-43F13.1	19
TRBV10-2	18
GGT3P	16
RP11-404K5.2	16
RP11-462G22.1	15
RP11-778D9.9	15
LINC00029	14
H6PD	12
RP11-1324A7.2	12
TRBV7-6	12
ANKRD36	11
ANKRD36BP2	11
BLZF2P	11
OPLAH	11
RP11-435B5.5	11
CDRT15P1	10
GOLGA6L6	10
PLIN4	10
RP11-1281K21.1	10
TRBV7-1	10
AC009963.4	9
IGHV1OR16-2	9
RP11-481J2.2	9
AC134915.1	8
IGHJ5	8
JAKMIP3	8
RP6-206I17.1	8
SDHAP1	8
Z95704.5	8
AC114755.7	7
ANKRD30BP2	7
MAL2	7
MYL12B	7
TRIM60P16	7
YBX1P6	7
MT-CYB	6
MUC4	6
RASA4B	6
RP11-423H2.3	6
RP11-754I20.1	6
TREML3P	6
AC074286.1	5
CNN2	5
FAM27D1	5
IGHV1-2	5
MUC17	5
SLC9B1P4	5
AP000593.6	4
GS1-122H1.2	4
KB-1572G7.2	4
MT-ND1	4
MT-ND5	4
MUC3A	4
NBEAP1	4
PKD1	4
RP11-141C7.3	4
RP11-163O19.1	4
RP11-317N6.1	4
RP11-321E8.4	4
RP11-386D6.1	4
RP11-685A21.1	4
SIRPB1	4
ZNF595	4
AC009518.2	3
AKAP9	3
ANKRD20A14P	3
ANKRD20A9P	3
ANKRD36C	3
CDH6	3
CELF2	3
CNTRL	3
COL4A5	3
CRIPAK	3
CTD-2128F4.1	3
MT-CO2	3
MTBP	3
PIKFYVE	3
PPIP5K2	3
PRAMEF7	3
RGAG1	3
RNU6-671P	3
RP11-301J16.7	3
RP11-551L14.1	3
RP3-510D11.1	3
SHANK1	3
SLC9B1P3	3
TRBV7-7	3
TTN	3
UPF2	3
UTRN	3
VPS13B	3
XPOT	3
XRN2	3
ZNF492	3
ABCB5	2
ABL2	2
AC012309.5	2
AC027612.6	2
AC092168.4	2
AC098826.4	2
ACOT9	2
ACSF2	2
ADAM2	2
ADAMTSL4	2
ADCK5	2
AGAP2	2
AKNA	2
ANAPC1P1	2
APC	2
APC2	2
ARHGAP39	2
ATF7IP	2
ATM	2
ATP4A	2
ATP9B	2
AZI1	2
BAI1	2
BCL9L	2
BIRC6	2
BLM	2
BOD1L1	2
BRD4	2
BSDC1	2
BSN	2
C6orf118	2
CACHD1	2
CAD	2
CAMK2B	2
CAMSAP2	2
CDH18	2
CENPF	2
CEP192	2
CEP350	2
CFHR4	2
CHIT1	2
CHORDC1	2
CIC	2
CLCN6	2
CLIC2	2
COL11A1	2
COL5A1	2
CREB1	2
CROCC	2
CTNNB1	2
DDR2	2
DDX3X	2
DIDO1	2
DIP2C	2
DNAH1	2
DNAH17	2
DNAH2	2
DNAH6	2
DNAH8	2
DNAH9	2
DNHD1	2
DOCK5	2
DYRK1A	2
EIF5	2
EYA4	2
FAM157A	2
FAM208A	2
FAM214B	2
FAM86A	2
FBXW10	2
FES	2
FGB	2
FN1	2
FOXP2	2
FRG1	2
FSIP2	2
FTSJ1	2
GALNT16	2
GOLGA2	2
HARS	2
HDAC6	2
HEXIM2	2
HINFP	2
HMMR	2
IARS	2
IGFBP6	2
IGHJ1	2
IGHJ4	2
IPO13	2
IRS1	2
ITSN1	2
JAG2	2
KCNH3	2
KIAA1324	2
KIF15	2
KRT84	2
LCK	2
LINC01138	2
LSS	2
MACF1	2
MAGEC1	2
MAP2K1	2
MAP3K4	2
METTL18	2
MICALL2	2
MLPH	2
MNS1	2
MT-CO1	2
MUT	2
MX1	2
MYO3A	2
MYO9A	2
NCAN	2
NCAPH	2
NCL	2
NFKB1	2
NLRP4	2
NSD1	2
NUP107	2
NUP153	2
ORC6	2
OTOF	2
PCDHA2	2
PCNT	2
PHEX	2
PHKA1	2
PIK3C2A	2
PLCB4	2
PREX1	2
PWP2	2
QTRTD1	2
RABL3	2
RBAK	2
RET	2
RHBDF2	2
RNF220	2
RP1	2
RP11-113E21.1	2
RP11-122M14.1	2
RP11-533K9.3	2
RP4-610C12.1	2
RP4-683M8.2	2
RPE	2
RSPO1	2
S100B	2
SACS	2
SHF	2
SIN3B	2
SLC25A15P2	2
SLC4A7	2
SMCHD1	2
SPANXN4	2
SPG11	2
SRRM1	2
STARD9	2
STAT6	2
SYNE2	2
TACC3	2
