SYMBOL	s
PDE4DIP	93
SON	93
ADH1C	92
C12orf54	92
ITIH5	92
OR2L8	92
OR2T35	92
ZNF852	91
DSC3	89
OR4C3	89
NCOR1	88
ZNF480	88
PSRC1	86
CEACAM21	85
EFCAB13	85
MS4A14	85
MT-ND4	85
NLRP8	85
CCDC144NL	84
KRTAP19-6	84
OR4X1	84
OR5AR1	84
C14orf105	83
MT-CO3	83
OAS2	83
PTCHD3	82
RP11-764K9.4	82
TRIM51GP	82
SLC22A24	81
PABPC3	79
SLC35G6	79
CTU2	78
PRUNEP1	78
ZNF419	78
FAM166A	77
MAP2K3	77
OR8K1	76
RBBP6	75
SARM1	75
FAM86FP	74
HTR3D	72
OR2T4	71
OR5K4	71
PRAMEF1	71
RP11-114H24.2	71
USP29	71
SLC22A1	70
SLC22A10	70
C5orf20	69
NIPAL2	69
HIBCH	67
KRTAP10-1	67
RP11-415I12.2	67
RP11-640M9.2	67
TAS2R19	67
DEFB126	66
TIGD6	66
NOTCH2NL	65
OR8U1	65
PRB3	65
UBE2NL	65
RP11-196D18.5	64
MOB3C	63
OR51Q1	63
PRIM2	63
PRSS3	63
SLC9B1P1	63
CDC27	62
PARP4P2	62
PKD1L2	62
CELA1	61
PRSS48	61
TPTE	61
ZNF117	61
NBPF9	60
P2RX5	60
TAAR9	60
TBC1D3P5	60
CHRFAM7A	58
FANCD2	58
GBA3	58
MAGEB16	58
MS4A12	58
NR2E3	58
OR10X1	58
KLK12	57
KRTAP13-2	57
NF1P6	57
SIRPA	57
CTBP2	56
OR9K2	56
IGHGP	55
PIGN	55
RP11-492D6.3	55
SLC46A1	55
SLC9B1P2	55
FRG1B	54
IGHJ6	54
LIN37	54
MUC6	54
OR6C74	54
SCRN3	54
STK11IP	54
TMEM216	54
MROH5	53
NCAM1	53
OR4L1	53
OR51F1	53
POMZP3	53
ZNF516	53
AQP7	52
OR2B11	52
PYGL	52
ANAPC1	51
KRT24	51
NBPF14	51
NPHP4	51
SLC25A5	51
ZAN	51
FUT2	50
OR52E8	49
ZNF586	49
MAML3	48
NUDT11	48
PABPC1	48
TAS2R43	48
TEX26	48
CATSPER2	47
MUC3A	47
OR8G1	47
BAGE2	46
IGHV3OR16-13	46
MTCH2	46
ZNF568	46
ZNF717	46
ANKRD36C	45
CEP89	45
FAM187B	45
MUC16	45
OR1S1	45
RP11-87H9.2	45
ABCD1P3	44
AP000244.1	44
C2orf83	44
METTL8	44
OVCH2	44
SLC6A18	44
TMPRSS4	44
CCDC144CP	42
IGLV3-16	42
MUC4	42
RP11-166B2.1	42
IGLV5-45	41
RP11-573D15.1	41
SLC9B1P4	41
TMPRSS11A	41
CLDN16	40
GPRIN1	40
GUCA1C	40
IGLV4-60	40
RP4-801G22.2	40
ZNF880	40
ARSD	39
NOS2P1	39
PRSS1	39
DNAJC28	38
OR4C16	38
RP11-1036E20.10	38
RP11-566K19.3	38
AGAP6	37
CPN2	37
OR52N4	37
SLC41A3	37
ZNF80	37
CAPN8	36
GAB4	36
OR5AC1	36
PATE4	36
SIGLEC12	36
TAS2R31	36
ATP6V1B1	35
C10orf113	35
MST1P2	35
OR6Q1	35
PCDHA4	35
RHPN2	35
RP11-597A11.1	35
UMODL1	35
CTAGE5	34
FOXD4	34
FRG1	34
IFNA10	34
NBPF16	34
OR5AC2	34
CNTN5	33
DPY19L2P1	33
OR52B4	33
PCMTD1	33
TYW1B	33
ZACN	33
ZNF443	33
BTN3A2	32
GOLGA6L2	32
KIAA0040	32
MUC19	32
PEBP4	32
RBM5	32
ZNF681	32
B3GNT6	31
DNAH11	31
GSDMB	31
OR5H8P	31
PSG1	31
SSPO	31
TBC1D31	31
CD200R1L	30
DDX11L8	30
IGLV3-12	30
LRRIQ1	30
OR1B1	30
OR4C5	30
CCNYL2	29
HTR3E	29
IGHV4-39	29
OR10AC1P	29
RP11-274M4.1	29
TCTEX1D1	29
TLR8	29
TRBV10-1	29
ZNF492	29
APOL4	28
C19orf55	28
GOLGA6L6	28
KRTAP10-6	28
OR13C7P	28
OR5K2	28
PRB4	28
PSG7	28
SLC9B1	28
ALDH3B2	27
AMPD1	27
C17orf77	27
KRTAP9-1	27
LPL	27
OR4P4	27
OR52J3	27
RFPL1	27
RP11-626K17.5	27
SCAPER	27
AKAP3	26
ARMS2	26
DBI	26
FLG2	26
KRT37	26
OR13C2	26
PVRIG	26
TRAJ36	26
ZNF141	26
ACOT4	25
C12orf60	25
C1orf220	25
GXYLT1	25
IDO2	25
LCN10	25
NPSR1	25
OR13C5	25
OR7E5P	25
POMT1	25
RP11-683L23.1	25
TMPRSS6	25
AKR1E2	24
CES5A	24
FRG2B	24
IGHV1-24	24
IGHV3-48	24
OR10J1	24
TPSD1	24
ANKMY1	23
CRIPAK	23
FCRL6	23
MOK	23
OR5M1	23
RAI1	23
RP11-241F15.7	23
SDCBPP2	23
TMEM255B	23
TRBV5-5	23
ZFPM1	23
CLDN5	22
HLA-DQB1	22
LPAL2	22
MUC20	22
OR2T12	22
PRAM1	22
RHBG	22
SLC5A9	22
TRBV7-3	22
A2M	21
CSAG1	21
FCGR2A	21
H2BFM	21
IGLV5-48	21
KIAA1841	21
NACA2	21
RP11-1396O13.13	21
RP11-618I10.2	21
TRBV3-1	21
TRBV6-5	21
UNKL	21
GEN1	20
KRT38	20
LAIR2	20
PRSS3P1	20
PSG9	20
PSPH	20
RP11-274B21.1	20
SDR42E1	20
SPATA31E3P	20
TAS2R46	20
TGIF1	20
TRBV5-4	20
TYRO3	20
UNC93A	20
XRCC4	20
CTD-2245F17.3	19
FGFRL1	19
GSTT2	19
IGLV3-22	19
KCNMB3	19
KMT2C	19
KRTAP29-1	19
NPPA	19
OR6C76	19
RP11-43F13.1	19
RP11-465B22.3	19
SKA3	19
TRAJ37	19
C2orf91	18
CNTNAP3B	18
IDI2	18
IL12RB1	18
MROH2B	18
MTMR6	18
MUC7	18
NCAPH2	18
NPIPB15	18
SLC17A5	18
SLC3A1	18
SLFN13	18
TRBV10-2	18
ZC3H3	18
ZNF233	18
ANKRD36	17
CYP2D6	17
DHRS4L2	17
ERCC6L2	17
FMO2	17
FOXD4L5	17
IGHV4-28	17
KB-1572G7.2	17
OR2C1	17
TRBV11-1	17
ZNF211	17
C17orf107	16
CNN2	16
DDIT4L	16
GGT3P	16
GLT6D1	16
IGHV3-38	16
OR4X2	16
RP11-404K5.2	16
SYNE2	16
TCP10L2	16
ZNF527	16
AC079612.1	15
AVPI1	15
CYP4B1	15
DGKH	15
DNAH14	15
HERC2	15
OR11H12	15
OR5G3	15
RASAL1	15
RP11-462G22.1	15
RP11-778D9.9	15
SCN1A	15
SPATA4	15
ARID3A	14
BCLAF1	14
C10ORF68	14
CCDC7	14
DYX1C1	14
LINC00029	14
PLA2G2C	14
PSG8	14
SPATA8	14
ZNF812	14
AL133373.1	13
C11orf40	13
C9orf43	13
CCR5	13
CEP170	13
CTC-457E21.3	13
GRP	13
HS1BP3	13
MRGPRX3	13
OR2T2	13
RBAK-RBAKDN	13
TRBV6-7	13
WASH7P	13
ZNF598	13
ZNF98	13
AC009892.5	12
ANKRD20A11P	12
ARHGEF5	12
C12orf44	12
CLCA3P	12
CLEC7A	12
FOLH1B	12
GOLGA8S	12
H6PD	12
HYAL4	12
IFIH1	12
IL34	12
KB-67B5.12	12
KRTAP1-1	12
MADD	12
MROH2A	12
OR2V2	12
POTEH	12
PPEF2	12
PRAMEF2	12
RP11-1324A7.2	12
TBP	12
TRBV7-6	12
USP17L10	12
ACSM4	11
ACTL7B	11
AMY1C	11
ANKRD20A5P	11
ANKRD36BP2	11
BLZF2P	11
C1orf105	11
DHDH	11
FAM86B1	11
FAM86HP	11
GJB4	11
IGHV3-21	11
LGALS8	11
NBPF12	11
NOMO3	11
OPLAH	11
OR8I2	11
PRODH	11
