SYMBOL	s
B3GNT6	98
CASP12	98
CTBP2	98
GOLGA6L2	98
MUC6	98
NCAM1	98
NR2E3	98
OR4C3	98
OR4C5	98
PKD1L2	98
RP11-166B2.1	98
TRAJ36	98
TRAJ37	98
ZFPM1	98
ZNF598	98
C12orf54	97
ITIH5	97
ANKRD26P2	96
CTU2	96
FAM86FP	96
RP11-114H24.2	96
SLC22A24	96
TAS2R19	96
TMEM216	96
TRIM51GP	96
OR8U1	95
PRUNEP1	95
SIX1	95
TAS2R43	95
AKR1C3	94
IGHJ6	93
RBBP6	93
C14orf105	92
IGHGP	91
MUC19	90
NPIPB15	90
OAS2	90
OR5AR1	90
PTCHD3	90
OR4X1	89
OR8K1	89
PRB3	88
ABCD1P3	85
HERC2	84
MS4A14	83
OR8G1	83
PATE4	83
RP11-415I12.2	83
PABPC3	82
RP11-317N6.1	82
SPATA31E3P	82
RP11-1036E20.10	81
UNKL	81
OVCH2	79
SLC22A10	79
OR4L1	78
OR5G3	78
SERPINA1	77
OR10D3	76
RP11-163O19.1	75
FRG2B	74
IGHV3OR16-13	74
GOLGA6L6	73
MTCH2	73
RP11-597A11.1	73
OR4Q2	71
PWRN1	71
RP11-492D6.3	71
CELA1	69
PARP4P2	66
RP11-626K17.5	66
DDX11L8	65
RP11-566K19.3	65
MS4A12	64
OR52E8	64
CHRFAM7A	63
TAS2R31	61
OR51Q1	60
OR11H7	59
OR52B4	58
PYGL	58
SCAPER	57
CTAGE5	56
GXYLT1	56
OR51F1	56
TMPRSS4	55
TEX26	54
OR4C16	53
OR7E5P	53
CCNYL2	52
OR1S1	52
GALNT9	50
MUC5B	50
CNTN5	49
ADSSL1	48
AGAP6	48
CATSPER2	48
TPSD1	47
IGHV1-24	46
LRRIQ1	46
IGHV4-39	45
RP11-754I20.1	45
OR52N4	44
OR9K2	41
OR6C74	40
OR5M1	39
RBM25	39
OR52J3	38
TYRO3	38
IGHV3-48	37
C10orf113	36
CTD-3049M7.1	36
IGHV3-64	35
TAS2R46	35
ARMS2	34
JAKMIP3	34
OR11H12	34
TMEM255B	34
TRAV19	34
OR6Q1	33
IGHV1OR16-2	32
RP11-1212A22.1	32
TRAV26-2	32
EP400	31
IGHV3-38	31
PRB4	31
ALDH1A2	29
SPATA8	29
TDG	29
C12orf60	28
A2M	27
AVPI1	27
IGHV3-23	27
SDR42E1	27
OR4X2	26
SKA3	25
ACOT4	24
IDI2	23
PRR25	23
CCDC7	22
FOLH1B	21
MOK	21
NCR3LG1	21
OR4P4	21
RP11-553E24.3	21
AKR1E2	20
GOLGA8S	20
KRTAP5-5	20
SYNE2	20
ZNF664	20
CES5A	19
IQCK	19
SPERT	19
TRIM64B	19
AKAP3	18
IGHV4-28	18
C11orf40	17
IL34	17
NOC4L	17
POU4F1	17
PTPRQ	17
PHF2P2	16
POTEM	16
PSPC1P1	16
TRPM1	16
ACSM4	15
C14orf177	15
C16orf52	15
DHRS4L2	15
DOC2A	15
MRGPRX3	15
C10ORF68	14
NOMO2	14
A2ML1	13
C12orf44	13
KRTAP5-4	13
MDP1	13
MTMR6	13
NOMO3	13
OR4C11	13
PIEZO1	13
ANKRD26P3	12
FAM35DP	12
RAD52	12
TRAV35	12
ANKRD30A	11
CLEC7A	11
COQ10A	11
DYX1C1	11
KRT121P	11
LRRC9	11
NF1P4	11
OR8I2	11
WDR89	11
ANTXRLP1	10
