SYMBOL	Case_cnt	Control_cnt	diff
TRBV7-7	78	3	75
MUC3A	76	4	72
MAL2	78	7	71
ANKRD30BP2	76	7	69
ANKRD36	78	11	67
OPLAH	78	11	67
TRIM60P16	73	7	66
TRBV7-6	78	12	66
RP11-317N6.1	63	4	59
RP11-163O19.1	62	4	58
RP11-1281K21.1	66	10	56
ADCK5	58	2	56
TRBV10-1	78	23	55
TRAJ36	78	26	52
C19orf55	78	28	50
SPATA31E3P	69	19	50
B3GNT6	78	30	48
SLC9B1P1	68	28	40
TRBV7-1	49	10	39
MUC16	71	32	39
RP11-404K5.2	54	16	38
AP000244.1	78	44	34
FAM157A	34	2	32
DDX3X	34	2	32
ANKRD36C	35	3	32
AC134915.1	40	8	32
RP11-754I20.1	36	6	30
RP11-87H9.2	73	45	28
RP11-782C8.2	27	1	26
ZNF516	78	53	25
MUC6	71	47	24
DDX11L8	53	29	24
RP11-597A11.1	59	35	24
SLC46A1	78	55	23
ABCD1P3	67	44	23
SLC9B1P2	77	55	22
RP11-626K17.5	49	27	22
IGHGP	75	55	20
RP11-43F13.1	38	19	19
ZNF664	18	1	17
MUC17	22	5	17
JAKMIP3	24	8	16
TRBV10-2	33	17	16
Z95704.5	22	8	14
IGHV1OR16-2	23	9	14
MTCH2	60	46	14
RP11-573D15.1	54	41	13
CDRT15P1	22	10	12
NF1P6	69	57	12
ANKRD20A3	10	1	9
H6PD	21	12	9
RASA4B	14	6	8
RP11-141C7.3	12	4	8
DPY19L2P1	41	33	8
RP11-196D18.5	71	64	7
RP4-801G22.2	47	40	7
PRB3	71	65	6
BAGE2	34	28	6
SPANXN4	8	2	6
AC027612.6	7	2	5
WDR89	7	2	5
ANKRD20A9P	5	1	4
NBEAP1	8	4	4
RP11-492D6.3	59	55	4
FAM86FP	77	74	3
SARM1	78	75	3
ANKRD36BP2	14	11	3
PRAMEF7	5	3	2
SIRPB1	6	4	2
PRSS3P1	22	20	2
CBX3	2	1	1
MATR3	2	1	1
ZNF525	2	1	1
MUC4	4	3	1
FRG1B	2	1	1
ZNF492	4	3	1
SOCS5P2	2	1	1
SDHAP1	9	8	1
TBC1D3P5	61	60	1
CROCCP2	1	1	0
RP5-837I24.2	1	1	0
MT-CYB	1	1	0
IGFLR1	1	1	0
SLC25A15P2	2	2	0
MUC5B	1	1	0
IGHV1OR15-6	1	1	0
MT-ND5	1	1	0
CNN2	5	5	0
FAM86A	1	2	-1
IGHV1-2	4	5	-1
MST1P2	34	35	-1
RNU6-671P	1	3	-2
RP3-510D11.1	1	3	-2
SLC9B1P3	1	3	-2
GGT3P	14	16	-2
CTU2	76	78	-2
SLC9B1P4	2	5	-3
RP11-415I12.2	63	67	-4
RP11-764K9.4	78	82	-4
TYW1B	28	33	-5
PABPC3	67	74	-7
GXYLT1	17	24	-7
SLC22A1	63	70	-7
ALDH3B2	1	27	-26
MT-CO3	8	83	-75
MT-ND4	9	85	-76
