SYMBOL	Case_cnt	Control_cnt	diff
TRBV7-7	78	3	75
CASP12	78	4	74
SIX1	76	3	73
MAL2	78	7	71
ANKRD26P2	76	6	70
RP11-17M16.1	74	4	70
ANKRD30BP2	76	7	69
OPLAH	78	11	67
COL6A5	70	4	66
ZNF598	78	12	66
AKR1C3	74	8	66
TRIM60P16	73	7	66
TRBV7-6	78	12	66
LENG9	69	5	64
UBXN11	70	7	63
ANKRD36	78	16	62
RP11-317N6.1	63	4	59
TRAJ37	78	19	59
ANKDD1B	65	6	59
RP11-163O19.1	62	4	58
TRBV6-5	78	21	57
ADCK5	58	2	56
RP11-1281K21.1	66	10	56
FAM182B	61	5	56
TRBV7-3	78	22	56
ZFPM1	78	23	55
NPIPB15	72	18	54
C19orf83	60	6	54
TRBV5-5	77	23	54
HERC2	67	13	54
TRAJ36	78	26	52
C19orf55	78	28	50
FAM231B	51	1	50
SPATA31E3P	69	19	50
OR10D3	59	10	49
PRAMEF2	61	12	49
TRBV10-1	78	29	49
SLC9B1	76	28	48
OR4C5	78	30	48
GOLGA6L2	78	31	47
B3GNT6	78	31	47
OR11H7	50	4	46
ZNF211	62	16	46
OR10AC1P	75	29	46
TRBV6-7	58	13	45
OR5G3	60	15	45
UNKL	65	21	44
CNTNAP3B	61	18	43
CLDN5	63	22	41
MUC16	76	37	39
TRBV7-1	49	10	39
RP11-404K5.2	54	16	38
TRBV7-8	39	1	38
MUC19	70	32	38
TRBV30	45	8	37
RP11-166B2.1	78	42	36
PLK5	37	2	35
FRG2B	59	24	35
AP000244.1	78	44	34
TRBV3-1	55	21	34
METTL8	78	44	34
FRG1	65	32	33
NOTCH2	36	3	33
ANKRD36C	78	45	33
DDX3X	34	2	32
FAM157A	34	2	32
USP17L10	44	12	32
FOXD4L5	49	17	32
AC134915.1	40	8	32
CTD-2245F17.3	50	19	31
MUC3A	78	47	31
GOLGA6L6	58	27	31
RP11-1036E20.10	69	38	31
PATE4	67	36	31
RP11-754I20.1	36	6	30
TGIF1	50	20	30
NUDT11	78	48	30
LTN1	36	6	30
NBPF16	63	34	29
CAPN8	65	36	29
PCMTD1	62	33	29
IGHV3-64	29	1	28
RP11-87H9.2	73	45	28
RBM25	32	5	27
PCDHA4	61	34	27
AQP7	78	51	27
TRBV5-4	47	20	27
TAS2R43	75	48	27
EPB41L4A	27	1	26
RP11-782C8.2	27	1	26
IGLV3-16	67	42	25
OR5AC1	61	36	25
RAI1	47	22	25
ZNF516	78	53	25
DDX11L8	55	30	25
NCAM1	78	53	25
DNAH11	55	31	24
RP11-1212A22.1	28	4	24
C2orf91	42	18	24
RP11-597A11.1	59	35	24
MUC6	78	54	24
LIN37	78	54	24
ZAN	75	51	24
STK11IP	78	54	24
HRNR	30	7	23
ABCD1P3	67	44	23
IGLV5-45	64	41	23
SLC46A1	78	55	23
PIGN	78	55	23
RP11-626K17.5	49	27	22
CTBP2	78	56	22
SLC25A5	73	51	22
ERCC6L2	38	16	22
SLC9B1P2	77	55	22
TMEM216	76	54	22
CNTNAP3	23	2	21
TRAV19	26	5	21
RP11-780M14.1	22	1	21
PRSS1	60	39	21
NPHP4	72	51	21
ARHGEF5	32	11	21
IGHGP	75	55	20
MROH5	73	53	20
RP11-824M15.3	29	9	20
NR2E3	78	58	20
FRG1B	73	53	20
IGLV3-12	49	30	19
OVCH2	63	44	19
OR7E5P	44	25	19
FOXD4	53	34	19
KISS1	28	9	19
RP11-43F13.1	38	19	19
ANKRD44	26	8	18
ZNF717	64	46	18
OR8G1	65	47	18
UMODL1	53	35	18
GSDMB	49	31	18
NBPF9	78	60	18
PTCHD3P2	27	9	18
ZNF664	18	1	17
IQCK	18	1	17
USP17L18	25	8	17
PRSS48	78	61	17
GBA3	75	58	17
ZNF141	43	26	17
CCDC144CP	59	42	17
ZNF117	78	61	17
SCAPER	44	27	17
ARSD	55	38	17
HLA-DRB1	22	6	16
PEBP4	48	32	16
CCDC57	25	9	16
TRAV26-2	22	6	16
OR11H12	31	15	16
KIAA0040	48	32	16
PKD1L2	78	62	16
JAKMIP3	24	8	16
CDC27	78	62	16
TRBV10-2	33	17	16
PCDHB8	23	8	15
TDG	24	9	15
H2BFM	36	21	15
IGHV1-24	39	24	15
MUC17	24	9	15
ZNF568	61	46	15
ABHD17A	18	3	15
KRTAP29-1	33	18	15
AQP12B	23	8	15
PRIM2	78	63	15
RP11-566K19.3	53	38	15
PRSS3	78	63	15
ABI3BP	23	8	15
NXF2	16	2	14
RP11-14N7.2	23	9	14
RP11-553E24.3	18	4	14
Z95704.5	22	8	14
IGHV3-23	23	9	14
IGHV1OR16-2	23	9	14
MTCH2	60	46	14
CDRT15	22	8	14
CYP2D6	31	17	14
ERV3-1	17	3	14
TYRO3	33	19	14
TAS2R31	50	36	14
AFF3	15	2	13
DZANK1	16	3	13
USP17L11	14	1	13
OR52B4	46	33	13
IGHV3OR16-13	59	46	13
SLC9B1P1	76	63	13
NCR3LG1	15	2	13
KRT38	33	20	13
MUC4	53	40	13
RP11-573D15.1	54	41	13
TRBV6-1	14	2	12
AC073343.1	15	3	12
PIEZO1	13	1	12
ZNF98	25	13	12
GALNT9	13	1	12
PSPH	32	20	12
CTC-457E21.3	25	13	12
CTAGE5	45	33	12
TPSD1	35	23	12
FANCD2	70	58	12
NF1P6	69	57	12
CCNYL2	41	29	12
RP11-618I10.2	33	21	12
OR8U1	77	65	12
CDRT15P1	22	10	12
SSPO	43	31	12
MZT2A	12	1	11
OR6C76	30	19	11
TRGV11	12	1	11
PTPRQ	15	4	11
ROBO2	12	2	10
RP5-965K10.3	14	4	10
C16orf52	11	1	10
NBPF24	12	2	10
PLA2G2C	24	14	10
ANKRD20A7P	12	2	10
TNK1	16	6	10
KRTAP1-1	22	12	10
MPRIP	16	6	10
PRAMEF13	17	7	10
FOXD4L3	12	2	10
FMO6P	11	2	9
HMCN2	15	6	9
CEP170P1	14	5	9
IGHV3-48	32	23	9
GEN1	28	19	9
MROH2A	21	12	9
ANKRD20A3	10	1	9
MST1	14	5	9
IGLV3-22	28	19	9
FAM86B1	19	10	9
OR1B1	39	30	9
NBPF14	60	51	9
UBE2W	12	3	9
SLC9B1P4	50	41	9
C17orf107	25	16	9
SLFN12L	11	2	9
SPERT	16	7	9
TAAR9	69	60	9
H6PD	21	12	9
TAS2R19	76	67	9
ZNF626	11	3	8
MTCH1	9	1	8
NPSR1	33	25	8
CCNL2	15	7	8
AVPI1	23	15	8
RASA4B	14	6	8
OR5M1	31	23	8
PVRIG	34	26	8
PABPC1	55	47	8
ZC3H3	24	16	8
IGLV5-48	29	21	8
OR5H8P	38	30	8
DPY19L2P1	41	33	8
RP11-141C7.3	12	4	8
RHBG	30	22	8
KRTAP10-1	75	67	8
P2RX5	68	60	8
ANKRD26P3	12	4	8
KRTAP9-1	35	27	8
KLK12	65	57	8
HLA-DQB1	30	22	8
PRAMEF1	78	70	8
PPIG	12	4	8
KRTAP5-4	12	5	7
TTLL3	9	2	7
ZBTB10	8	1	7
DHDH	18	11	7
IGHV4-39	36	29	7
ZNF880	47	40	7
PRR25	15	8	7
FLG	12	5	7
RP4-801G22.2	47	40	7
KRTAP10-6	35	28	7
MROH2B	25	18	7
KRT37	33	26	7
USP29	77	70	7
POMZP3	60	53	7
RP11-196D18.5	71	64	7
MUC20	29	22	7
TAS2R46	27	20	7
CNTN5	40	33	7
FAM81B	10	4	6
KRT43P	10	4	6
C14orf177	11	5	6
ACTL7B	17	11	6
VCX	8	2	6
IGLV4-60	46	40	6
IGHV3-38	22	16	6
CYP4B1	21	15	6
POTEM	11	5	6
OR4L1	59	53	6
GLT6D1	22	16	6
KRT24	56	50	6
LCE1D	8	2	6
OR2B11	58	52	6
OR4C16	44	38	6
RP11-114H24.2	77	71	6
SPANXN4	8	2	6
CPN2	43	37	6
PRB3	71	65	6
FOLH1B	18	12	6
FAM151A	11	6	5
TRPM1	15	10	5
FAM26F	9	4	5
MAGEE2	6	1	5
FAM209B	8	3	5
LILRB4	7	2	5
AC027612.6	7	2	5
PHF2P2	13	8	5
WDR89	7	2	5
ZNF812	18	13	5
BTNL8	6	1	5
SPATA8	19	14	5
CYP3A43	14	9	5
DPP4	7	2	5
ZNF233	23	18	5
GAB4	41	36	5
PSPC1P1	13	8	5
ZNF527	21	16	5
LILRA6	6	1	5
PRAM1	27	22	5
SEC24B-AS1	7	2	5
PRDM12	7	3	4
SLC16A8	5	1	4
IGKV1-39	6	2	4
LPA	7	3	4
ZNF727	5	1	4
DIRC3	6	2	4
ANKRD20A9P	5	1	4
SKA3	23	19	4
PCDHA3	5	1	4
CCDC7	17	13	4
TRAV35	11	7	4
GOLGA8S	16	12	4
OR13C7P	32	28	4
NACA2	24	20	4
GSTT2	23	19	4
LRRC69	5	1	4
GSTT2B	5	1	4
MDP1	10	6	4
NBEAP1	8	4	4
OR2T2	16	12	4
CRIPAK	21	17	4
TCP10L2	19	15	4
FAM115C	5	1	4
MAP2K7	5	1	4
FCRL6	26	22	4
ZACN	37	33	4
IL12RB1	22	18	4
RP11-492D6.3	59	55	4
LCN10	29	25	4
CD200R1L	34	30	4
KMT2C	22	18	4
NT5C1B	5	1	4
HLA-B	5	1	4
DBF4B	5	1	4
AC105443.2	4	1	3
CTAGE4	4	1	3
PRAMEF11	4	1	3
KHDC1	9	6	3
ATP8B3	9	6	3
ADAM33	9	6	3
HLA-A	8	5	3
KRTAP4-8	8	5	3
CYP2A6	11	8	3
C11orf40	14	11	3
EPPK1	4	1	3
A2ML1	8	5	3
CTA-992D9.6	5	2	3
TTC24	6	3	3
ATP6V1B1	38	35	3
SYNE2	17	14	3
C1QTNF8	6	3	3
KRT121P	9	6	3
SDR42E1	23	20	3
VPS13B	4	1	3
OR2T29	8	5	3
STAP2	4	1	3
SDCBPP2	26	23	3
NUTM2HP	5	2	3
ZNF474	10	7	3
NBPF6	11	8	3
METTL7B	4	1	3
HELB	5	2	3
ANXA9	5	2	3
KB-1572G7.2	17	14	3
ARMS2	29	26	3
SPATA4	18	15	3
C17orf82	5	2	3
SARM1	78	75	3
FAM187B	48	45	3
RP11-274B21.1	23	20	3
GBGT1	9	6	3
ANKRD36BP2	14	11	3
FAM86FP	77	74	3
AKR7L	6	3	3
RFX8	5	2	3
SH2B2	6	3	3
CBWD5	8	6	2
HAP1	3	1	2
FASTKD1	5	3	2
PRAMEF7	5	3	2
CHMP4C	9	7	2
RP11-344N17.11	3	1	2
SDHA	3	1	2
SIRPB1	6	4	2
LILRB1	4	2	2
C3orf35	5	3	2
CNKSR1	4	2	2
ARL11	4	2	2
APLF	3	1	2
SDHAP2	3	1	2
SULT1C3	4	2	2
CYP2A7	11	9	2
MPO	3	1	2
C6orf226	3	1	2
PRSS3P1	22	20	2
KIAA1755	5	3	2
BRD7	4	2	2
OR2T12	23	21	2
OR4C11	8	6	2
FAM35DP	7	5	2
IL34	14	12	2
OR2M3	3	1	2
TMEM78	13	11	2
CTD-2014N11.1	7	5	2
FAM71D	3	1	2
KIAA1919	4	2	2
PTH2R	3	1	2
THSD7B	5	3	2
RBMXL1	3	1	2
NBPF1	10	8	2
OR52J3	29	27	2
RSPH10B2	5	3	2
SDCBP2	3	1	2
TBC1D31	32	30	2
ANAPC1	53	51	2
NPPA	21	19	2
KCTD14	4	2	2
JSRP1	5	3	2
CRELD2	3	1	2
RHPN2	37	35	2
OR10X1	60	58	2
KB-67B5.12	14	12	2
AGAP6	39	37	2
OR52E8	51	49	2
OR4X2	18	16	2
ABCA10	10	8	2
CEP89	47	45	2
CLYBL	4	2	2
RP11-223J15.2	6	4	2
BAGE2	48	46	2
7SK	3	1	2
C3orf79	4	2	2
KLK14	3	1	2
ZBED6CL	3	1	2
ZNF595	3	2	1
MSR1	4	3	1
CBX3	2	1	1
TCP10	3	2	1
TGM4	3	2	1
POTEG	2	1	1
SYTL3	2	1	1
OR8K3	5	4	1
ZSCAN5B	3	2	1
CACNA1E	2	1	1
IL17RC	2	1	1
PGC	2	1	1
ZNF525	2	1	1
XYLB	2	1	1
NBPF12	11	10	1
ADCK2	3	2	1
AZU1	2	1	1
C10orf11	3	2	1
TOMM20L	2	1	1
KANK4	2	1	1
ANKRD30A	10	9	1
CFHR3	2	1	1
FANK1	3	2	1
MARCKS	3	2	1
KRTAP1-5	7	6	1
IGHV3-53	3	2	1
C1orf194	2	1	1
FAM221A	2	1	1
CD33	5	4	1
DNHD1	5	4	1
TAAR2	3	2	1
IGKV3D-15	6	5	1
CCDC110	2	1	1
SLC26A5	3	2	1
GALR2	2	1	1
TTLL6	3	2	1
PKD2L1	2	1	1
WI2-3658N16.1	3	2	1
A2M	22	21	1
UGT2A1	9	8	1
PRDM2	2	1	1
LOXHD1	5	4	1
SOCS5P2	2	1	1
RSPH1	2	1	1
SLC17A4	4	3	1
BRD7P2	7	6	1
CLCA3P	13	12	1
SPTBN5	5	4	1
ZNF429	4	3	1
WDR27	3	2	1
OR13C9	2	1	1
SDHAP1	9	8	1
C17orf77	28	27	1
SLC6A18	45	44	1
GPRC6A	6	5	1
TRBV6-8	2	1	1
RGPD3	2	1	1
OR7E24	3	2	1
EIF3C	2	1	1
IDI2	19	18	1
MAP2K3	78	77	1
TBC1D3P5	61	60	1
PNPLA1	4	3	1
FAM166A	78	77	1
ZRANB3	2	1	1
ACSM4	12	11	1
IRAK3	2	1	1
NUDT17	4	3	1
KIAA2018	3	2	1
HTRA4	2	1	1
PSCA	4	3	1
TIAM2	3	2	1
BRCA2	2	1	1
GZMM	2	1	1
MMP10	3	2	1
OR10V1	2	1	1
SYTL2	3	2	1
DCHS2	2	1	1
C1orf141	2	1	1
RNF224	2	1	1
CAPN15	3	2	1
TPD52L3	3	2	1
PCDHB7	2	1	1
TGFBR3L	2	1	1
OR52M1	2	1	1
PCDHB3	2	1	1
TMEM54	2	1	1
CCDC121	2	1	1
AKR1B10	2	1	1
TMEM177	2	1	1
DNAJC11	2	1	1
CRNKL1	2	1	1
P2RY4	4	4	0
PRSS3P2	1	1	0
C1orf189	2	2	0
FCGR1A	3	3	0
C1orf127	4	4	0
MAN2A2	1	1	0
SLC46A3	1	1	0
SLC5A4	2	2	0
SLC25A15P2	2	2	0
GIMAP8	3	3	0
MMP20	1	1	0
ATP13A4	1	1	0
SULT1C4	1	1	0
ZSWIM1	1	1	0
NPM1P31	2	2	0
MATR3	2	2	0
NOXO1	3	3	0
LILRA2	4	4	0
ASB15	1	1	0
AC144525.1	1	1	0
C4orf47	1	1	0
PIK3C2G	1	1	0
ZNF543	2	2	0
ZNF600	1	1	0
USP6	3	3	0
MOGAT1	3	3	0
PARPBP	2	2	0
ZNF780B	2	2	0
ADAMTS3	1	1	0
TSSK4	1	1	0
MUC5B	1	1	0
OR5B12	3	3	0
INMT	3	3	0
ACSM2A	1	1	0
ZSCAN12	1	1	0
FAM186A	1	1	0
SLC26A10	3	3	0
ZNF214	1	1	0
RP11-16E18.1	2	2	0
RP11-758M4.1	1	1	0
C17orf80	1	1	0
OR2V2	12	12	0
TRIM64B	4	4	0
TMC3	5	5	0
ACTR3C	4	4	0
KRTAP10-4	4	4	0
ASTE1	7	7	0
KRT83	5	5	0
OTOR	8	8	0
IGLV2-11	6	6	0
IL17RB	9	9	0
CSRP2BP	9	9	0
MYCT1	4	4	0
