SYMBOL	Case_cnt	Control_cnt	diff
TRBV7-7	70	3	67
CASP12	70	4	66
SIX1	69	3	66
MAL2	70	7	63
ANKRD30BP2	69	7	62
ANKRD26P2	68	6	62
RP11-17M16.1	66	4	62
UBXN11	69	7	62
COL6A5	66	4	62
TRIM60P16	66	7	59
AKR1C3	67	8	59
OPLAH	70	11	59
ZNF598	70	12	58
LENG9	63	5	58
TRBV7-6	70	12	58
ANKRD36	70	17	53
RP11-163O19.1	57	4	53
ANKDD1B	58	6	52
RP11-317N6.1	56	4	52
TRAJ37	70	19	51
FOXD4L3	52	2	50
ADCK5	52	2	50
RP11-1281K21.1	59	10	49
TRBV6-5	70	21	49
TRBV7-3	70	22	48
FAM182B	53	6	47
HERC2	61	14	47
ZFPM1	70	23	47
NPIPB15	65	18	47
TRBV5-5	70	23	47
OR10D3	57	10	47
C19orf83	52	6	46
FAM231B	46	1	45
TRAJ36	70	26	44
SPATA31E3P	63	19	44
OR11H7	47	4	43
PRAMEF2	55	12	43
C19orf55	70	28	42
TRBV10-1	70	29	41
OR4C5	70	30	40
SLC9B1	68	28	40
TRBV6-7	53	13	40
GOLGA6L2	70	31	39
B3GNT6	70	31	39
ZNF211	55	16	39
HMGB1P48	45	6	39
OR10AC1P	68	29	39
OR5G3	53	15	38
UNKL	57	21	36
CLDN5	57	22	35
CNTNAP3B	53	18	35
TRBV7-1	43	10	33
TRBV7-8	34	1	33
GALNT9	33	1	32
TRBV30	40	8	32
RP11-404K5.2	48	16	32
MUC19	63	32	31
AC134915.1	39	8	31
MUC5B	32	2	30
C4orf50	31	1	30
USP17L10	41	12	29
TRBV3-1	50	21	29
PLK5	31	2	29
LTN1	36	8	28
RP11-166B2.1	70	42	28
FRG2B	52	24	28
NOTCH2	31	3	28
FOXD4L5	45	17	28
FAM157A	30	2	28
TGIF1	47	20	27
IGHV3-64	28	1	27
AP000244.1	70	44	26
RP11-754I20.1	33	7	26
GOLGA6L6	53	27	26
PATE4	62	36	26
METTL8	70	44	26
ANKRD36C	70	45	25
RP11-1036E20.10	63	38	25
MUC16	70	45	25
TRAV19	30	5	25
CTD-2245F17.3	43	19	24
RP11-782C8.2	25	1	24
PCMTD1	57	33	24
FRG1	57	33	24
TRBV5-4	43	20	23
MUC3A	70	47	23
NBPF16	57	34	23
RP11-1212A22.1	27	4	23
CAPN8	58	36	22
RBM25	28	6	22
RP11-87H9.2	67	45	22
TBP	33	12	21
EPB41L4A	22	1	21
TAS2R43	68	48	20
RP11-824M15.3	29	9	20
ERCC6L2	36	16	20
C2orf91	38	18	20
FGFRL1	39	19	20
RP11-780M14.1	21	1	20
CCDC30	22	2	20
CNTNAP3	22	2	20
HRNR	28	9	19
PCDHA4	54	35	19
MAML3	67	48	19
RAI1	41	22	19
AQP7	70	51	19
ARHGEF5	31	12	19
IGLV3-16	61	42	19
DNAH11	50	31	19
RP11-597A11.1	53	35	18
DDX11L8	48	30	18
RP11-626K17.5	45	27	18
GXYLT1	42	25	17
NCAM1	70	53	17
OR5AC1	53	36	17
ZNF516	70	53	17
ABCD1P3	61	44	17
CCDC57	26	9	17
ANKRD44	25	8	17
IGLV5-45	57	41	16
RP11-43F13.1	35	19	16
MUC6	70	54	16
STK11IP	70	54	16
LIN37	70	54	16
ZAN	67	51	16
USP17L18	24	8	16
KISS1	25	9	16
OR7E5P	41	25	16
IQCK	17	1	16
IGHGP	70	55	15
PIGN	70	55	15
RBMXL1	19	4	15
SLC46A1	70	55	15
TRBV10-2	32	17	15
SSPO	46	31	15
PRSS1	54	39	15
HLA-DRB1	21	6	15
ZNF664	16	1	15
CYP2D6	31	17	14
UMODL1	49	35	14
SLC9B1P2	69	55	14
SCAPER	41	27	14
IGHJ6	68	54	14
TMEM216	68	54	14
MUC4	56	42	14
CTBP2	70	56	14
NPHP4	65	51	14
GSDMB	45	31	14
CDRT15	22	8	14
MUC17	23	9	14
OR8G1	61	47	14
OR11H12	29	15	14
RP11-553E24.3	18	4	14
IGLV3-12	44	30	14
PCDHB8	22	8	14
ERV3-1	16	3	13
ZNF141	39	26	13
ABI3BP	21	8	13
JAKMIP3	21	8	13
PTCHD3P2	22	9	13
MROH5	66	53	13
FOXD4	47	34	13
MST1	19	6	13
USP17L11	14	1	13
TMPRSS6	36	23	13
TRAV26-2	19	6	13
ABHD17A	16	3	13
KIAA0040	44	32	12
NR2E3	70	58	12
HLA-A	22	10	12
AQP12B	20	8	12
KRTAP29-1	31	19	12
CCDC144CP	54	42	12
CDRT15P1	22	10	12
PEBP4	44	32	12
PTPRQ	16	4	12
HMCN2	18	6	12
AFF3	14	2	12
IGHV3-23	22	10	12
TRBV6-1	14	2	12
FRG1B	65	54	11
NCR3LG1	13	2	11
KRT38	31	20	11
ZNF717	57	46	11
OVCH2	55	44	11
TRGV11	12	1	11
KRTAP5-5	13	2	11
PIEZO1	12	1	11
TDG	20	9	11
IGHV1-24	35	24	11
TAS2R31	46	36	10
TYRO3	29	19	10
NBPF9	70	60	10
RP11-14N7.2	19	9	10
ZNF98	23	13	10
DOC2A	11	1	10
B3GNT3	11	1	10
PRSS48	70	61	9
ZNF117	70	61	9
GBA3	67	58	9
RP11-618I10.2	30	21	9
CCNYL2	38	29	9
PRAMEF13	16	7	9
IGHV1OR16-2	18	9	9
UBE2W	12	3	9
IGHV3OR16-13	55	46	9
ANKRD20A3	10	1	9
PLA2G2C	23	14	9
MZT2A	10	1	9
DZANK1	13	4	9
AC073343.1	12	3	9
SPERT	15	7	8
ANKRD26P3	12	4	8
RP11-566K19.3	46	38	8
CDC27	70	62	8
MTCH2	54	46	8
PKD1L2	70	62	8
EPPK1	27	19	8
CTAGE5	41	33	8
ZNF568	54	46	8
CCDC150	10	2	8
RASA4B	14	6	8
GEN1	27	19	8
ANKRD20A7P	10	2	8
MROH2A	20	12	8
MTCH1	9	1	8
FMO6P	10	2	8
TPSD1	30	23	7
PRIM2	70	63	7
PRSS3	70	63	7
SLFN12L	9	2	7
TNK1	14	7	7
C17orf107	23	16	7
KRTAP9-1	34	27	7
OR5M1	30	23	7
DPY19L2P1	40	33	7
CEP170P1	14	7	7
IGLV3-22	26	19	7
NPSR1	32	25	7
FIP1L1	13	6	7
RP11-141C7.3	11	4	7
ZBTB10	8	1	7
C16orf52	8	1	7
TTLL3	9	2	7
RP5-965K10.3	11	4	7
ROBO2	10	3	7
NF1P6	63	57	6
MUC20	28	22	6
PPIG	10	4	6
KRTAP1-1	18	12	6
MPRIP	12	6	6
POTEM	11	5	6
CYP4B1	21	15	6
CTC-457E21.3	19	13	6
NBPF24	8	2	6
CCNL2	13	7	6
DHDH	17	11	6
C14orf177	11	5	6
ABL2	7	1	6
KRT43P	10	4	6
KRTAP5-4	11	5	6
CRELD2	14	9	5
SLC9B1P4	46	41	5
HLA-DQB1	27	22	5
FOLH1B	17	12	5
FANCD2	63	58	5
RP11-573D15.1	46	41	5
KRT37	31	26	5
FAM86B1	15	10	5
PSPH	25	20	5
CYP3A43	14	9	5
OR52B4	38	33	5
DPP4	7	2	5
GLT6D1	21	16	5
AVPI1	20	15	5
TRIM64B	10	5	5
ZC3H3	21	16	5
EVL	6	1	5
IGLV5-48	26	21	5
ZNF626	8	3	5
SLC16A8	6	1	5
LILRB4	7	2	5
FAM209B	8	3	5
FAM81B	9	4	5
TRPM1	15	10	5
SEC24B-AS1	7	2	5
TAS2R46	24	20	4
PSPC1P1	12	8	4
MROH2B	22	18	4
VWDE	10	6	4
OR8U1	69	65	4
PRAM1	26	22	4
H6PD	16	12	4
ZNF880	44	40	4
VPS13B	6	2	4
GSTT2B	5	1	4
LCE1D	6	2	4
ACTL7B	15	11	4
LRRC69	5	1	4
THUMPD1P1	10	6	4
GOLGA8S	16	12	4
BTNL8	5	1	4
TRAV35	11	7	4
A2ML1	9	5	4
